Year,Tuition_Type,Tuition,Inflation_Factor
1999,nominal,22228.00,1.553487395
1999,inflation_adj,34530.92,1.553487395
2000,nominal,23094.00,1.502967481
2000,inflation_adj,34709.53,1.502967481
2001,nominal,23995.00,1.462209041
2001,inflation_adj,35085.71,1.462209041
2002,nominal,24930.00,1.438638134
2002,inflation_adj,35865.25,1.438638134
2003,nominal,25902.27,1.406581522
2003,inflation_adj,36433.65,1.406581522
2004,nominal,27171.48,1.37009529
2004,inflation_adj,37227.52,1.37009529
2005,nominal,28667.00,1.325197132
2005,inflation_adj,37989.43,1.325197132
2006,nominal,30194.00,1.283784723
2006,inflation_adj,38762.60,1.283784723
2007,nominal,31794.00,1.248232388
2007,inflation_adj,39686.30,1.248232388
2008,nominal,33479.00,1.202078002
2008,inflation_adj,40244.37,1.202078002
2009,nominal,35124.00,1.206369998
2009,inflation_adj,42372.54,1.206369998
2010,nominal,36683.00,1.186901529
2010,inflation_adj,43539.11,1.186901529
2011,nominal,38886.00,1.150583047
2011,inflation_adj,44741.57,1.150583047
2012,nominal,40809.00,1.127255068
2012,inflation_adj,46002.15,1.127255068
2013,nominal,42849.00,1.110981854
2013,inflation_adj,47604.46,1.110981854
2014,nominal,45377.00,1.093247331
2014,inflation_adj,49608.28,1.093247331
2015,nominal,46966.00,1.091951211
2015,inflation_adj,51284.58,1.091951211
2016,nominal,48376.00,1.078347714
2016,inflation_adj,52166.15,1.078347714
2017,nominal,49949.00,1.055854275
2017,inflation_adj,52738.87,1.055854275
2018,nominal,51447.00,1.030680148
2018,inflation_adj,53025.40,1.030680148
2019,nominal,52524.00,1.012336842
2019,inflation_adj,53171.98,1.012336842
2020,nominal,55000.00,1
2020,inflation_adj,55000.00,1
