Year,Type,Count,Endowment,Endowment_Per_Unit
1999,Student,1652,435541794.00,263645.00
1999,Faculty,152,435541793.97,2865406.54
2000,Student,1679,502842801.00,299489.00
2000,Faculty,153,502842801.00,3286554.25
2001,Student,1673,467829553.00,279635.00
2001,Faculty,153,467829553.00,3057709.50
2002,Student,1644,419173625.00,254972.00
2002,Faculty,154,419173625.00,2721906.65
2003,Student,1712,400619058.00,234006.00
2003,Faculty,158,400619058.00,2535563.66
2004,Student,1714,454671081.00,265269.00
2004,Faculty,158,454671081.00,2877665.07
2005,Student,1683,506063388.00,300691.00
2005,Faculty,159,506063388.00,3182788.60
2006,Student,1667,541785214.00,325006.00
2006,Faculty,162,541785214.00,3344353.17
2007,Student,1664,610433448.00,366847.00
2007,Faculty,164,610433448.00,3722155.17
2008,Student,1668,613288483.00,367679.00
2008,Faculty,166,613288483.00,3694508.94
2009,Student,1743,456240342.00,261756.00
2009,Faculty,163,456240342.00,2799020.50
2010,Student,1742,512021847.00,293928.00
2010,Faculty,167,512021847.00,3065999.09
2011,Student,1756,590935426.00,336524.00
2011,Faculty,162,590935426.00,3647749.54
2012,Student,1790,574979766.00,321218.00
2012,Faculty,170,574979766.00,3382233.92
2013,Student,1788,627431272.00,350912.00
2013,Faculty,174,627431272.00,3605926.85
2014,Student,1770,710347888.00,401326.00
2014,Faculty,179,710347888.00,3968423.96
2015,Student,1784,745426067.00,417840.00
2015,Faculty,176,745426067.00,4235375.38
2016,Student,1796,713902276.00,397496.00
2016,Faculty,185,713902276.00,3858931.22
2017,Student,1810,771194621.00,426074.00
2017,Faculty,188,771194621.00,4102099.05
2018,Student,1843,846990293.00,459572.00
2018,Faculty,196,846990293.00,4321379.04
2019,Student,1837,892340575.00,485760.00
2019,Faculty,203,892340575.00,4395766.38
2020,Student,1983,905857948.00,456812.00
2020,Faculty,202,905857948.00,4484445.29
